Booking_ID,Hotel_ID,Country,Brand_Tier,Star_Rating,Room_Type,Nights_Stayed,Booking_Channel,Meals_Included,Payment_Type,Customer_Age,Lead_Time_Days,Checkin_Date,Checkin_Month,Is_Weekend,Is_Public_Holiday,Occupancy_Rate_Property,Competitor_Avg_Rate_RM,Distance_To_Center_KM,Review_Score,Promo_Applied,Events_Index_City,ADR_RM,Total_Spend_RM,Extra_Spend_Unscaled,Satisfaction_Rating
332,H001,Singapore,Economy,2, DOUBLE ,3,Online,Yes,Card,25.0,23,2023-09-15,9,0,0,0.681,122.97,1.78,6.49,0,56.4,117.2,383.1,9877,4
1783,H071,Thailand,midscale,3,Double,3,Online,Yes,Card,33.0,24,2023-02-21,2,0,0,0.703,280.61,6.81,8.45,0,61.8,245.72,806.29,54663,5
2163,H015, Philippines ,economy,1,Single,2, Online ,Yes,Card,35.0,36,2023-01-25,1,0,0,0.733,89.57,2.8,5.71,0,57.7,86.65,251.19,80173,3
3707,H021,,upscale,4,Double,4,Online,Yes,Cash,26.0,44,2024-04-24,4,0,0,0.685,363.7,9.56,9.8,1,40.6,345.73,1501.41,10718,4
3032,H014,Indonesia,luxury,4,Double,4,Travel Agent,Yes,Cash,39.0,42,2024-11-28,11,0,0,0.73,498.61,2.97,9.27,0,58.1,510.6,2158.35,119126,4
826,H001,Singapore,economy,2,Single,3, Online ,nan,Card,32.0,60,2023-10-09,10,0,0,0.588,89.82,1.78,8.11,0,51.0,81.75,302.03,8656,5
5939,H029,Philippines,ECONOMY,1,Single,1,Travel Agent,Yes,Cash,48.0,44,2024-05-15,5,0,0,0.71,71.58,5.16,7.17,0,52.2,74.98,104.98,34729,4
2471,H053,Singapore,economy,2,Single,3,Online,No, Card ,31.0,13,2023-10-11,10,0,0,0.755,110.97,3.49,7.4,0,62.8,116.47,398.03,113574,4
2078,H030,Philippines,economy,3, Single ,3,Online,no,Card,46.0,35,2024-05-15,5,0,1,0.549,182.96,5.78,8.32,0,27.3,185.19,638.34,61060,5
6490,H070,Thailand,midscale,4,Suite,3,online,No,Online,26.0,54,2023-06-17,6,1,0,0.973,535.29,5.55,9.8,1,62.0,575.45,1785.2,87562,4
4172,H076,VIETNAM,ECONOMY,1, double ,1,Walk-in,Yes,Card,41.0,37,2023-06-03,6,1,1,0.784,101.58,5.75,6.98,0,55.9,91.82,193.71,31279,3
3173,H064,Malaysia,luxury,5,double,1,Corporate,No, Cash ,42.0,17,2024-12-21,12,1,0,0.925,1198.95,3.13,8.59,0,82.7,1244.88,1291.24,112883,5
1025,H019,USA,economy,1,Suite,3,Online,Yes,Card,43.0,7,2024-09-15,9,1,0,0.747,92.2,3.54,6.14,0,42.5,121.47,417.21,23693,4
2187,H023,Philippines,midscale,4, DOUBLE ,2,Online,Yes,Card,46.0,40,2024-01-24,1,0,0,0.901,408.64,4.44,9.76,0,49.1,386.26,872.38,107660,3
5680,H012,Thailand,midscale,3,Double,1,Walk-in,Yes, Card ,21.0,35,2022-04-21,4,0,0,0.508,173.43,5.2,8.71,0,43.4,201.13,254.12,60200,5
4300,H074,Malaysia,economy,1,Single,3,Travel Agent, No ,Card,18.0,68,2024-07-28,7,1,1,0.805,84.8,55.16097726343576,7.38,0,49.6,98.96,361.49,73983,5
6063,H045,,economy,3,Single,3,Online,Yes,Cash,48.0,48,2024-05-14,5,0,1,0.883,186.98,2.93,7.96,0,54.5,204.03,666.06,116279,5
4247,H046,Thailand,economy,3,SINGLE,2,Online, Yes ,Card,,17,2023-10-23,10,0,0,0.848,168.76,1.01,8.68,0,56.8,156.05,332.11,56224,2
3101,H052,Singapore,upscale,5,Double,5, Online ,Yes, Card ,,79,2025-01-17,1,0,0,0.51,676.31,4.35,9.48,0,56.7,651.14,3292.03,25695,3
1468,H004,USA,economy,3,Double,3,Walk-in,Yes, Cash ,53.0,49,2022-06-27,6,0,0,0.723,210.19,6.02,8.79,0,60.0,226.23,769.88,30893,4
5751,H080,USA,upscale,3,Single,4,Travel Agent,Yes,Card,,56,2022-10-12,10,0,0,0.354,252.86,3.68,8.96,0,42.2,205.24,877.54,31405,5
2017,H041,Indonesia, upscale ,4,Single,4,Online,Yes,Card,35.0,24,2022-03-22,3,0,0,0.608,343.52,3.2,9.8,0,39.3,354.98,1531.49,7243,5
648,H024,Singapore,economy,3,Single,6,Online,yes,Card,18.0,35,2024-12-24,12,0,0,0.806,163.34,5.76,7.3,0,45.9,173.89,1147.87,3077,5
6125,H043,PHILIPPINES,economy,1,Single,2,Online,Yes,Online,19.0,18,2022-12-29,12,0,0,0.866,77.8,1.16,5.16,0,86.0,80.78,193.97,24184,5
5412,H058,usa,upscale,4,Single,1,Corporate,yes,ONLINE,18.0,14,2024-02-09,2,0,0,0.574,,3.67,8.76,0,56.3,382.08,469.61,73836,2
6491,H027,Singapore,MIDSCALE,4,Single,3,Travel Agent,Yes,ONLINE,38.0,45,2023-03-26,3,1,0,0.899,331.6,1.31,9.07,0,47.6,349.65,1111.57,84931,4
6007,H041,Indonesia,UPSCALE,4,Single,3,Online,Yes,Card,64.0,0,2025-02-16,2,1,0,0.649,420.58,3.2,9.62,0,51.0,460.04,1462.26,105079,4
5182,H017,Philippines,midscale,3,Single,2,Online,Yes,Cash,62.0,58,2024-05-15,5,0,0,0.629,234.89,1.96,7.87,0,52.2,219.0,544.73,34224,4
2651,H011, nan , upscale ,4, DOUBLE ,2,Online,Yes,Card,33.0,50,2025-01-14,1,0,0,0.586,439.2,2.74,8.57,0,44.5,423.49,935.48,109220,3
4535,H008,USA,economy,2,Suite,3, online ,Yes,Card,35.0,37,2023-09-09,9,1,0,0.663,164.5,5.9,7.6,0,35.1,157.45,511.37,25477,4
341,H047,USA,midscale,3,Single,3,Walk-in,nan,Cash,26.0,29,2025-08-24,8,1,0,0.691,238.07,3.58,8.83,0,43.5,276.39,882.24,107854,5
5140,H058,USA,Upscale,4,Suite,2,Online, Yes ,Card,18.0,25,2024-11-04,11,0,1,0.729,577.33,3.67,8.86,0,65.5,717.41,1467.44,7176,3
2724,H051,Thailand,midscale,4,Single,5,CORPORATE,Yes,Online,41.0,11,2025-03-06,3,0,0,0.751,,6.74,9.8,0,61.0,317.32,1635.25,112941,2
3028,H054,Thailand,upscale,4,Double,1,Online,Yes,Online,18.0,60,2025-04-26,4,1,0,0.678,451.42,3.26,8.76,0,57.6,449.55,548.47,89489,2
2894,H050,Indonesia,luxury,5, Suite ,1,CORPORATE,Yes,Card,25.0,0,2022-04-27,4,0,0,0.504,1014.46,6.32,9.72,0,,1025.92,1073.04,82136,5
6147,H013,Philippines,economy,2,Double,1,Walk-in,Yes,Online,46.0,9,2022-12-03,12,1,0,0.828,161.48,4.24,7.33,0,61.7,167.17,245.82,62330,5
3666,H033,Thailand,midscale,4,Suite,5,Travel Agent,Yes,Online,29.0,25,2022-05-22,5,1,0,0.634,493.6,0.98,9.54,0,44.1,551.13,2865.15,62984,4
4192,H061,USA,upscale,5, Single ,3,Corporate,Yes, Online ,33.0,0,2022-02-17,2,0,0,0.658,532.36,3.96,9.28,0,55.4,538.53,1693.02,98414,5
2232,H069,USA,midscale,3,DOUBLE,3,Online,No,Online,30.0,0,2024-03-13,3,0,0,0.69,205.57,2.45,7.25,0,21.5,210.52,725.5,42815,4
5533,H043,Philippines,ECONOMY,1,Suite,1,Online,No,Card,39.0,29,2022-05-18,5,0,0,0.959,97.02,1.16,7.91,0,60.9,125.31,204.03,14535,4
6167,H031,vietnam,MIDSCALE,4,Single,2,Walk-in,Yes,Online,43.0,39,2024-05-03,5,0,0,0.861,249.74,3.59,8.74,0,49.2,288.67,635.76,118720,4
5902,H015,PHILIPPINES,economy,1,Single,1,Travel Agent,No, card ,47.0,35,2022-07-12,7,0,0,0.815,81.28,2.8,6.53,0,62.5,81.82,124.2,78966,3
3386,H067,Singapore,upscale,3,Single,4,TRAVEL AGENT,No,Online,18.0,18,2024-11-29,11,0,0,0.678,234.54,4.68,7.74,1,59.8,225.29,927.59,79174,5
1571,H040,uk, economy ,2,Single,1,Walk-in,no,Online,18.0,25,2022-07-17,7,1,0,0.98,113.88,4.68,7.19,0,51.2,138.05,200.61,83599,4
1650,H060,Singapore, MIDSCALE ,4,Double,2,Online,Yes,Card,59.0,52,2022-09-05,9,0,0,0.649,318.47,6.81,9.8,0,65.9,362.99,766.95,37841,4
3321,H009,USA,MIDSCALE,3,Single,1, Online ,No,Card,28.0,59,2022-08-18,8,0,0,0.834,242.9,3.14,9.22,0,53.0,241.4,320.94,84379,3
3711,H072,USA,upscale,4, Double ,1,Travel Agent,Yes,Card,44.0,16,2023-02-20,2,0,0,0.776,432.37,6.78,8.75,0,63.1,477.72,580.38,21623,4
5425,H030, Philippines ,economy,3,Single,1,Online,No,Card,36.0,32,2024-11-17,11,1,0,0.753,186.41,5.78,9.61,0,74.7,179.21,216.95,62274,2
5950,H007,USA,Midscale,3,double,2,Walk-in,Yes,Card,69.0,25,2024-01-24,1,0,1,0.747,274.18,1.23,8.63,0,44.3,286.26,663.79,68965,5
3807,H039,Malaysia,upscale,4,Double,1,Travel Agent,Yes,Online,51.0,11,2024-08-23,8,0,0,0.643,460.15,6.99,9.8,1,53.4,425.6,539.73,75593,3
2720,H080,USA,upscale,3,Single,4,Online,no,Card,32.0,0,2024-01-12,1,0,0,0.727,249.58,3.68,8.64,0,70.2,260.61,1103.2,56569,4
6211,H070,Thailand,midscale,4,Double,2,Online,Yes,Card,20.0,53,2022-10-26,10,0,0,0.741,292.91,5.55,9.21,0,54.9,372.5,823.85,99720,3
298,H053, Singapore ,economy,2,Single,2,Corporate, Yes ,Online,29.0,22,2024-11-09,11,1,0,0.685,115.62,3.49,8.13,0,53.3,116.14,288.27,54537,5
2927,H029,Philippines,economy,1,single,4,Walk-in,Yes,Card,43.0,20,2022-11-21,11,0,0,0.758,70.0,5.16,5.87,0,50.0,77.34,416.6,54549,4
1988,H013,Philippines,economy,2,Single,2,online,Yes,Card,31.0,7,2025-01-03,1,0,0,0.754,112.32,4.24,,0,48.3,111.38,290.94,36931,3
4198,H050,Indonesia,luxury,5,Single,2,Online,No, Cash ,49.0,41,2023-02-22,2,0,0,0.662,,6.32,9.8,0,39.6,373.47,1542.02,79139,5
6380,H004,USA,ECONOMY,3,Single,5,Online,YES,Card,18.0,51,2022-04-11,4,0,1,0.622,161.23,6.02,8.34,1,34.8,160.91,845.2,28780,4
6360,H050,Indonesia,luxury,5,Double,3,Travel Agent,Yes,Card,39.0,0,2024-05-12,5,1,0,0.723,930.68,6.32,9.8,0,53.1,967.57,3012.16,100341,5
3253,H024,Singapore,economy,3,Single,3,Corporate,Yes,Card,45.0,19,2023-06-30,6,0,0,0.809,181.62,5.76,8.73,0,55.5,195.73,669.79,101193,4
1574,H049,India,midscale,4,Single,3, Online ,No,Card,38.0,32,2022-06-25,6,1,0,0.842,367.56,5.0,9.57,0,45.8,393.53,1257.86,119629,4
2623,H055,UK,midscale,4,Double,3,Online,Yes,Online,20.0,56,2025-05-25,5,1,0,0.698,410.11,1.31,9.06,0,55.6,391.9,1261.13,89083,5
4138,H043,Philippines,economy,1,Suite,1,corporate, Yes , Card ,35.0,0,2025-01-19,1,1,0,0.913,119.39,1.16,6.62,0,47.5,146.84,171.33,85848,3
3626,H042,India,upscale,3,Double,1,Online,YES,Online,22.0,37,2024-08-26,8,0,1,0.587,295.98,3.88,7.96,0,58.3,330.01,363.31,10108,5
2885,H074,Malaysia,economy,1,Single,4,Online,No,Online,33.0,39,2023-09-26,9,0,0,0.638,70.0,5.85,7.41,0,41.8,70.0,388.27,113242,3
4415,H072,USA,upscale,4,Suite,3,Online,No,Card,28.0,70,2022-07-30,7,1,0,0.663,677.82,6.78,9.75,0,76.3,700.49,2132.09,2530,3
858,H062,Philippines,economy,2,Single,1,Walk-in,Yes,Online,18.0,26,2024-11-02,11,1,0,0.814,117.66,0.65,6.84,0,52.9,124.11,226.74,86090,5
2035,H046,Thailand,economy,3,Single,4,Online,Yes,Cash,21.0,15,2023-06-09,6,0,1,0.735,190.31,1.01,8.26,0,62.9,178.84,744.24,109655,4
4973,H004,USA,economy,3,single,5,Corporate,Yes,Card,33.0,18,2023-11-30,11,0,0,0.63,176.31,6.02,8.67,1,51.6,158.96,881.16,20675,3
5355,H078,singapore,economy,1,Double,1,online,YES,Online,57.0,0,2022-08-19,8,0,0,0.641,81.32,1.55,7.25,0,49.9,87.52,185.69,72810,5
2034,H005, uk ,Economy,1,Double,2,Travel Agent,Yes,ONLINE,38.0,8,2024-12-25,12,0,0,0.667,93.89,2.84,6.67,0,58.3,101.19,287.59,70791,5
6279,H062,Philippines,economy,2, Single ,1,Corporate,No,Card,49.0,14,2023-06-02,6,0,0,0.551,125.96,0.65,7.07,1,36.6,93.78,197.11,85591,4
5482,H058,USA,upscale,4,Single,2,Online,Yes,Card,51.0,56,2022-07-02,7,1,0,0.903,516.34,3.67,9.37,0,73.8,539.78,1168.64,41479,4
140,H020,UK,economy,2,Single,2,Online,No,Cash,42.0,51,2024-04-11,4,0,0,0.612,110.86,4.78,8.8,0,51.2,100.31,292.4,33372,5
2752,H012,Thailand,midscale,3,Single,3,Travel Agent,Yes,Cash,29.0,9,2022-02-14,2,0,0,0.741,236.66,5.2,8.79,0,65.1,226.71,747.88,114471,3
2213,H071,Thailand,midscale,3,Single,1,Travel Agent,No,Card,24.0,50,2024-05-30,5,0,0,0.69,203.27,6.81,7.28,0,62.4,219.34,252.69,54012,4
852,H075,Philippines,upscale,3,Double,4,Travel Agent, No ,Card,47.0,5,2025-09-14,9,1,0,0.714,250.07,7.41,8.96,1,26.2,247.43,1067.65,85084,5
4771,H058,USA,upscale,4,Double,1,Online,Yes,card,37.0,35,2023-12-05,12,0,1,0.751,489.84,3.67,8.15,0,81.1,528.56,648.1,67273,5
5981,H054, Thailand ,upscale,4,Suite,5,Travel Agent,No,Online,40.0,46,2023-02-08,2,0,0,0.913,569.54,3.26,8.86,1,75.6,682.14,3453.82,70155,5
5184,H032,Singapore,midscale,3,Single,3,Online,Yes,Online,37.0,32,2023-12-05,12,0,0,0.654,244.39,2.75,8.76,0,71.0,250.09,791.29,94347,3
5132,H051,Thailand, midscale ,4,Single,4,ONLINE,Yes,Card,,38,2024-12-23,12,0,0,0.738,358.32,6.74,8.97,0,74.1,334.95,1434.13,69431,4
2734,H062,Philippines,economy,2,Single,1,Online,, Online ,36.0,43,2025-01-07,1,0,0,0.697,107.95,0.65,7.77,0,56.3,109.1,133.9,26918,4
4460,H022,India,upscale,3,Single,4,WALK-IN,Yes,CASH,18.0,0,2025-03-18,3,0,0,0.778,196.62,6.39,6.21,0,53.4,230.89,1027.99,30164,4
2123,H058,USA,upscale,4,single,1,Online,No,Online,31.0,0,2022-05-11,5,0,0,0.759,390.59,3.67,9.73,0,53.5,388.82,506.92,72335,5
3753,H070,Thailand,midscale,4,Double,2,ONLINE,No,Card,27.0,64,2022-11-15,11,0,0,0.745,373.53,5.55,8.89,0,67.1,402.78,910.15,29027,5
4610,H070,Thailand,midscale,4,Single,2,Corporate,No,Card,49.0,26,2024-12-19,12,0,0,0.687,355.1,5.55,8.95,0,58.1,376.22,806.69,75363,4
2279,H073,India,economy,1,Single,1,Online,Yes,Online,37.0,43,2025-09-26,9,0,0,0.646,79.27,3.01,7.89,1,46.0,70.0,117.55,99437,5
4200,H027,Singapore,midscale,4,Single,4,Online,No,Card,42.0,42,2024-12-13,12,0,1,0.74,341.6,1.31,8.03,1,58.6,372.54,1551.16,83456,5
5385,H076,,economy,1,Suite,3,Online,YES,Card,30.0,45,2025-05-21,5,0,0,0.553,101.23,5.75,5.66,0,45.2,105.07,396.2,102906,4
1251,H072, USA ,upscale,4,Single,1,Corporate,No,Online,41.0,1,2025-02-04,2,0,0,0.783,416.99,6.78,9.8,0,57.9,414.21,477.19,42307,4
6198,H057,Germany,midscale,3,single,5,online,Yes,Card,18.0,20,2022-11-08,11,0,0,0.795,227.96,4.91,8.04,0,45.0,197.41,1020.62,32409,5
474,H051,thailand,midscale,4, Double ,1,Online,No,Card,50.0,51,2023-11-19,11,1,1,0.93,419.51,6.74,8.76,0,62.6,470.69,521.49,24465,3
5031,H006,Singapore,economy,1,Single,2,TRAVEL AGENT,NO,Card,34.0,21,2023-06-13,6,0,0,0.556,85.31,2.95,5.96,0,63.7,73.99,255.86,17872,4
1205,H002,Vietnam, economy ,1, Double ,2,Online,Yes,Card,43.0,32,2022-09-20,9,0,0,0.728,74.08,4.64,7.94,0,58.2,82.97,227.39,23209,5
5566,H007,USA,midscale,3,Single,2,Online,Yes,Card,48.0,34,2023-09-22,9,0,0,0.602,209.13,1.23,8.97,0,48.1,215.3,529.57,90417,3
6385,H021,Vietnam,upscale,4,Double,2,Corporate,Yes,Card,41.0,23,2022-03-19,3,1,0,0.837,452.05,9.56,8.97,0,49.8,537.51,1118.02,91423,4
2991,H059,Nan,midscale,3,Double,3,Travel Agent, Yes ,Card,35.0,10,2022-05-21,5,1,0,0.864,,2.11,8.33,0,62.1,310.87,1015.75,116661,5
1423,H078, Singapore ,economy,1,Double,4,Online,Yes,Card,38.0,51,2023-06-11,6,1,0,0.973,95.68,1.55,6.46,0,60.5,103.17,431.39,20299,5
2129,H062,Philippines,economy,2,Single,3,Walk-in,No,Card,40.0,37,2024-10-30,10,0,0,0.697,113.06,0.65,7.53,0,75.9,118.0,371.94,55598,3
5359,H033,Thailand,midscale,4,Suite,2,corporate,yes,Online,39.0,8,2023-06-19,6,0,0,0.715,479.38,0.98,9.7,0,45.7,575.52,1222.66,10700,4
1705,H007,USA, midscale ,3,Single,4,Online,Yes,Online,61.0,55,2023-10-02,10,0,0,0.564,200.75,1.23,8.62,0,34.4,186.44,823.31,88718,4
4692,H042,India,upscale,3,Single,2,Walk-in,Yes,Online,32.0,28,2022-10-08,10,1,0,0.895,287.8,3.88,8.38,0,71.9,278.8,633.67,44066,3
3733,H042,INDIA,Upscale,3,Single,4,Online,Yes,Card,19.0,0,2022-04-22,4,0,0,0.546,263.87,3.88,9.01,0,51.2,246.18,1027.83,20883,4
4532,H070,thailand,midscale,4,Suite,1,Corporate,Yes,Card,30.0,27,2023-12-29,12,0,0,0.796,500.87,5.55,7.42,0,72.6,574.98,689.22,119769,5
4419,H001,Singapore,economy,2,Single,2,Walk-in,No,Online,18.0,0,2023-12-03,12,1,0,0.792,113.16,1.78,8.2,0,63.0,118.16,310.72,96656,4
3205,H037,Philippines,upscale,5,single,2,Corporate,Yes,Online,57.0,11,2025-05-11,5,1,0,0.807,607.45,1.92,9.8,0,47.7,697.11,1437.61,62573,3
4624,H047,USA, midscale ,3,Double,1,travel agent,No,Online,48.0,21,2025-06-13,6,0,0,0.602,240.44,3.58,8.6,1,41.5,229.75,306.94,8363,4
6148,H080,USA,upscale,3,Single,2,Corporate, No ,Card,39.0,14,2022-10-02,10,1,0,0.71,254.78,3.68,6.91,0,70.9,255.27,617.04,21823,5
5444,H069,usa,midscale,3,Double,2,Online,NO,Card,29.0,39,2022-10-08,10,1,1,0.818,268.55,2.45,7.98,1,63.1,294.87,616.08,40495,5
867,H023,Philippines,midscale,4,double,3,Online,No,Card,,40,2022-09-18,9,1,0,0.834,294.6,4.44,,0,38.0,378.47,1170.64,74523,4
6367,H016,uk,ECONOMY,1,Double,2,Online,No,Card,25.0,0,2023-11-23,11,0,0,0.748,90.8,5.89,6.93,0,62.4,88.63,200.09,46538,4
618,H016,UK,economy,1,SINGLE,2,Travel Agent,No,Card,38.0,3,2024-01-16,1,0,0,0.646,71.89,5.89,6.94,0,55.7,71.61,253.9,32900,5
1269,H028,Germany,midscale,3,Double,5,Online,Yes,Card,52.0,17,2023-11-16,11,0,0,0.808,255.68,2.24,8.37,0,42.7,264.26,1421.1,48966,4
5849,H043,Philippines, ECONOMY ,1,Single,3,Corporate,Yes,cash,42.0,21,2022-08-19,8,0,0,0.643,86.93,1.16,6.26,0,53.1,75.05,310.64,52773,3
803,H002,Vietnam,economy,1,Double,4,Online,Yes,Card,22.0,14,2022-11-25,11,0,0,0.693,78.95,4.64,7.3,0,58.0,82.26,402.9,12751,5
2685,H061,USA,upscale,5,Single,3,Online,Yes,Online,18.0,46,2023-09-18,9,0,0,0.814,538.63,3.96,9.8,0,59.4,474.44,1459.14,29250,3
665,H044,Germany,midscale,3,Single,5,Travel Agent,Yes,Card,30.0,13,2022-01-18,1,0,0,0.734,240.78,6.08,7.48,0,54.5,198.27,1086.74,9233,4
2967,H050,Indonesia,luxury,5,Single,1,online,No,Card,49.0,66,2023-09-06,9,0,0,0.534,698.97,6.32,9.8,0,42.6,621.79,731.17,105588,5
3652,H025,Indonesia,Upscale,3,SINGLE,1,Corporate,Yes,Card,38.0,25,2023-07-24,7,0,0,0.792,294.12,1.98,7.99,0,80.9,278.36,366.72,106331,5
2923,H005,UK,economy,1,Double,2,Online,Yes,Cash,34.0,17,2022-02-03,2,0,0,0.675,90.13,2.84,6.16,0,62.4,100.94,285.46,113864,5
5599,H001,Singapore, ECONOMY ,2,Suite,3,Online,Yes,Online,21.0,17,2022-03-11,3,0,0,0.704,137.85,1.78,6.8,1,52.1,146.42,457.5,21222,5
1724,H034,Indonesia,economy,1,SINGLE,4,Walk-in,Yes,Card,54.0,77,2023-04-22,4,1,0,0.808,70.0,6.2,6.16,0,53.8,73.2,373.06,52316,4
6193,H035,UK,economy,2,Single,4,Online,Yes,Cash,32.0,53,2025-01-25,1,1,0,0.861,133.16,6.36,7.59,0,61.8,136.71,573.09,75748,3
3579,H079,Germany,upscale,4,Double,3,CORPORATE,YES, Online ,25.0,27,2023-02-28,2,0,0,0.561,453.57,5.24,9.77,0,,415.54,1313.64,23553,3
5192,H048,India,midscale,3, Double ,1,Online,No,Card,38.0,0,2024-04-28,4,1,1,0.715,268.16,3.15,8.05,0,57.7,304.05,407.66,102371,4
5237,H034, Indonesia ,economy,1,DOUBLE,1,Walk-in,Yes, Card ,37.0,17,2024-01-18,1,0,0,0.761,81.84,6.2,7.1,0,41.0,92.66,170.69,61663,3
4978,H028,Germany,midscale,3,Single,2,Online,Yes,Card,43.0,32,2022-05-07,5,1,0,0.754,220.89,2.24,7.55,0,54.6,203.84,499.22,104512,4
6392,H043, Philippines ,economy,1,SINGLE,5,Travel Agent,No,Card,39.0,45,2022-06-08,6,0,0,0.661,70.0,1.16,6.43,1,55.2,74.64,468.53,42158,3
5424,H039,Malaysia,upscale,4,Single,2,Corporate,No,Card,65.0,19,2025-09-29,9,0,0,0.563,353.0,6.99,9.8,0,51.3,338.81,714.86,2237,4
6244,H021,Vietnam,upscale,4,Single,3, Online ,Yes,Card,,0,2022-06-24,6,0,0,0.503,406.46,9.56,8.47,0,63.8,378.9,1225.59,38955,5
2961,H030,Philippines,economy,3,Double,3, Online ,Yes,Card,31.0,39,2024-05-15,5,0,0,0.812,211.64,5.78,9.73,0,50.6,208.94,643.08,93912,4
4190,H046,Thailand,economy,3,Single,4,Online,No,Card,43.0,18,2022-01-24,1,0,0,0.627,161.87,1.01,8.11,0,40.8,149.34,681.98,93622,5
5657,H071,,midscale,3,Double,2,Travel Agent,No,card,40.0,0,2022-03-20,3,1,0,0.558,252.08,6.81,8.04,1,42.9,225.08,531.2,22336,3
3980,H067, singapore ,upscale,3,single,2,Online,Yes,Online,66.0,12,2023-06-24,6,1,0,0.802,323.17,4.68,9.21,0,51.6,307.41,693.0,50286,3
3591,H073,India,economy,1,Single,3,Online,Yes,Online,36.0,27,2024-07-11,7,0,0,0.751,83.19,3.01,6.14,0,57.6,87.64,369.93,21903,4
1068,H009,USA,midscale,3,Suite,5,travel agent, yes ,Card,55.0,3,2025-09-06,9,1,0,0.598,281.09,3.14,8.72,1,59.7,320.79,1650.85,101714,3
481,H058,USA, upscale ,4,Double,3,Online,Yes,Online,40.0,26,2022-02-24,2,0,0,0.714,492.37,3.67,8.86,0,59.1,461.03,1455.52,79159,3
3773,H009,USA,MIDSCALE,3, Single ,2,Online,Yes,Online,18.0,41,2025-02-16,2,1,0,0.682,230.13,3.14,7.96,0,42.4,223.32,563.11,107613,3
3916,H049,India,midscale,4,Double,2, Corporate ,Yes,Card,,20,2023-09-09,9,1,1,0.74,425.81,5.0,8.85,0,56.6,453.69,999.64,33205,4
1103,H032,Singapore, midscale ,3,Single,3,Online,Yes,Card,24.0,41,2024-11-27,11,0,0,0.897,178.92,2.75,7.74,1,47.8,195.34,696.4,3497,3
776,H066,Thailand,midscale,3, Double ,2,Walk-in,Yes,card,50.0,7,2025-07-27,7,1,0,0.95,277.23,3.48,7.83,0,62.1,317.18,708.05,61950,3
4033,H080,USA,upscale,3,Single,2,Online,No,Card,50.0,26,2022-11-13,11,1,0,0.762,231.02,3.68,8.74,0,50.2,262.65,606.84,62663,3
5481,H034,Indonesia,economy,1,SINGLE,1,Online,Yes,Card,24.0,39,2022-07-25,7,0,0,0.754,96.86,6.2,6.72,0,90.0,87.1,117.67,34799,5
5592,H026,Singapore,upscale,4, Single ,3,Corporate,Yes,Cash,67.0,9,2024-11-23,11,1,0,0.705,420.98,0.83,9.45,0,56.9,391.39,1266.77,68647,4
